id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Sunfield,indie pop,happy,0.68,108,0.79,0.71,0.42
12,Iron Storm,Voltage Kings,rock,intense,0.95,160,0.38,0.60,0.07
13,Velvet Haze,Echo Drift,ambient,chill,0.22,55,0.62,0.35,0.95
14,Street Oracle,Cyphex,hip-hop,focused,0.65,95,0.55,0.80,0.12
15,Neon Pulse,Circadia,synthwave,moody,0.80,125,0.44,0.76,0.08
16,Willow Drift,Paper Birds,lofi,chill,0.30,70,0.64,0.55,0.88
17,Break the Mold,Rival Sparks,rock,intense,0.87,145,0.52,0.68,0.15
18,Afternoon Jazz,The Quarter,jazz,relaxed,0.33,85,0.74,0.50,0.91
19,Candy Lights,Lumi,pop,happy,0.78,120,0.88,0.85,0.20
20,Deep Focus,LoRoom,lofi,focused,0.38,75,0.57,0.63,0.80
21,Stadium Tears,Echo Vault,rock,moody,0.89,138,0.28,0.57,0.12
22,Samba Sunrise,Rio Static,jazz,happy,0.71,172,0.80,0.93,0.88
